time,logger,level,message,exception
2012-08-02 00:15:52.9395,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"All documents have been filtered for Temp/CacheModels, no indexing will be performed, updating to 00000000-0000-0100-0000-000000000007, 02/08/2012 7:15:52 AM",
2012-08-02 00:15:52.9395,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/ImageModels. (ImageModels/9d345608-5df5-409c-b888-780cebfac389),
2012-08-02 00:15:52.9395,Raven.Database.Server.HttpServer,Debug,"	PUT ImageModels/9d345608-5df5-409c-b888-780cebfac389
",
2012-08-02 00:15:52.9395,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on ImageModels/9d345608-5df5-409c-b888-780cebfac389 result in index Temp/ImageModels gave document: 	__document_id IS: imagemodels/9d345608-5df5-409c-b888-780cebfac389
",
2012-08-02 00:15:52.9395,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/ImageModels,
2012-08-02 00:15:52.9395,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 12 because: WORK BY IndexingExecuter,
2012-08-02 00:15:52.9395,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 12, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:15:52.9395,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 12, for: IndexingExecuter, will wait for additional work",
2012-08-02 00:15:52.9635,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5', update: False, ",
2012-08-02 00:15:52.9635,Raven.Database.DocumentDatabase,Debug,Put document CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5 with etag 00000000-0000-0100-0000-000000000008,
2012-08-02 00:15:52.9635,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 13 because: PUT CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5,
2012-08-02 00:15:52.9635,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0013588,
2012-08-02 00:15:52.9635,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 13, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0100-0000-000000000007,
2012-08-02 00:15:52.9635,Raven.Database.Server.HttpServer,Debug,Request #  34: POST    -     2 ms - PhotoCache - 200 - /bulk_docs,
2012-08-02 00:15:52.9635,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/CacheModels, LastIndexedEtag: 00000000-0000-0100-0000-000000000007",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"All documents have been filtered for Temp/ImageModels, no indexing will be performed, updating to 00000000-0000-0100-0000-000000000008, 02/08/2012 7:15:52 AM",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/CacheModels. (CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5),
2012-08-02 00:15:52.9635,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5 result in index Temp/CacheModels gave document: 	__document_id IS: cachemodels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5
",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/CacheModels,
2012-08-02 00:15:52.9635,Raven.Database.Server.HttpServer,Debug,"	PUT CacheModels/625d9e8f-988f-42c2-8f67-a2bbcd4c63e5
",
2012-08-02 00:15:52.9635,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 14 because: WORK BY IndexingExecuter,
2012-08-02 00:15:52.9695,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 14, for: ReducingExecuter, will wait for additional work",
2012-08-02 00:15:52.9695,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 14, for: IndexingExecuter, will wait for additional work",
2012-08-02 00:16:16.7249,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'ImageModels/9d345608-5df5-409c-b888-780cebfac389' was found,
2012-08-02 00:16:16.7249,Raven.Database.Server.HttpServer,Debug,Request #  35: GET     -     0 ms - PhotoCache - 200 - /docs/ImageModels/9d345608-5df5-409c-b888-780cebfac389,
2012-08-02 00:16:28.0729,Raven.Database.Server.HttpServer,Debug,Request #  36: GET     -     0 ms - PhotoCache - 200 - /static/e650dcb2-c32c-404d-8bf7-1a752f6af48d,
2012-08-02 00:21:53.3171,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-08-02 00:21:53.3171,Raven.Database.Server.HttpServer,Debug,Request #  37: GET     -     0 ms - PhotoCache - 404 - /docs/Raven/Replication/Destinations,
2012-08-02 00:21:53.3171,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Adding attachment 3aa66684-9596-4614-9a9a-d7ae33bf44b5,
2012-08-02 00:21:53.3241,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 15 because: PUT ATTACHMENT 3aa66684-9596-4614-9a9a-d7ae33bf44b5,
